what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1462365942082
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1462365942082
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1462365942082
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1462365942082
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1462365942083
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1462365942083
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1462365942084
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1462365942085
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1462365942085
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1462365942086
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1462365942086
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1462365942087
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1462365942087
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1462365942087
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1462365942088
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1462365942088
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1462365942089
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1462365942089
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1462365942090
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1462365942090
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1462365942091
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1462365942092
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1462365942092
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1462365942095
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1462365942095
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1462365942097
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1462365942098
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1462365942098
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1462365942098
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1462365942099
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1462365942101
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1462365942101
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1462365942101
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1462365942102
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1462365942103
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1462365942103
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1462365942104
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1462365942104
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1462365942105
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1462365942105
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1462365942105
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1462365942105
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1462365942106
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1462365942106
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1462365942106
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1462365942107
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1462365942108
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1462365942108
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1462365942109
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1462365942109
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1462365942109
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1462365942110
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1462365942110
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1462365942110
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1462365942110
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1462365942111
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1462365942111
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1462365942111
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1462365942300
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1462365942300
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1462365942301
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1462365942301
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1462365942302
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1462365942302
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1462365942303
started,bundle,org.eclipse.dltk.core,3.0.0.v20110609-1525,"org.eclipse.dltk.core",1462365942304
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1462365942305
started,bundle,org.eclipse.dltk.ui,3.0.0.v20110609-1525,"org.eclipse.dltk.ui",1462365942306
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201106081058,"org.eclipse.cdt.codan.checkers",1462365942306
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201106081058,"org.eclipse.cdt.codan.core",1462365942307
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201106081058,"org.eclipse.cdt.codan.core.cxx",1462365942307
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201106081058,"org.eclipse.cdt.codan.ui.cxx",1462365942307
started,bundle,org.eclipse.cdt.core,5.3.0.201106081058,"org.eclipse.cdt.core",1462365942309
started,bundle,org.eclipse.cdt.make.core,7.1.0.201106081058,"org.eclipse.cdt.make.core",1462365942310
started,bundle,org.eclipse.cdt.make.ui,7.1.0.201106081058,"org.eclipse.cdt.make.ui",1462365942311
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.core",1462365942312
started,bundle,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui",1462365942312
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1462365942312
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1462365942313
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1462365942314
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui",1462365942315
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1462365942315
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1462365942315
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1462365942315
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1462365942315
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1462365942315
started,bundle,fr.tm.elibel.smartqvt.modulesmanager,0.2.1,"fr.tm.elibel.smartqvt.modulesmanager",1462365942316
started,bundle,fr.tm.elibel.smartqvt.stdlibs,0.2.1,"fr.tm.elibel.smartqvt.stdlibs",1462365942317
started,bundle,org.eclipse.eclipsemonkey,1.0.1.201104071107,"org.eclipse.eclipsemonkey",1462365942317
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,1.0.1.201104071107,"org.eclipse.eclipsemonkey.lang.javascript",1462365942317
started,bundle,org.eclipse.gmf.runtime.diagram.core,1.4.1.v20101221-2230,"org.eclipse.gmf.runtime.diagram.core",1462365942318
started,bundle,org.eclipse.papyrus.diagram.common,0.8.0.v201106151827,"org.eclipse.papyrus.diagram.common",1462365942319
started,bundle,org.eclipse.papyrus.log,0.8.0.v201106151827,"org.eclipse.papyrus.log",1462365942320
started,bundle,org.eclipse.papyrus.modelexplorer,0.8.0.v201106151827,"org.eclipse.papyrus.modelexplorer",1462365942321
started,bundle,org.topcased.requirement,3.3.1.201107291409,"org.topcased.requirement",1462365942322
started,bundle,org.topcased.requirement.core,3.3.3.201107291409,"org.topcased.requirement.core",1462365942323
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1462365942323
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110913-1156,"org.eclipse.emf.common.ui",1462365942323
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1462365942323
started,bundle,org.eclipse.emf.edit,2.7.1.v20110913-1526,"org.eclipse.emf.edit",1462365942323
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110913-1156,"org.eclipse.emf.edit.ui",1462365942323
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1462365942324
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1462365942325
os,sysinfo,,,"linux",1462365942328
arch,sysinfo,,,"x86_64",1462365942329
ws,sysinfo,,,"gtk",1462365942329
locale,sysinfo,,,"fr_FR",1462365942329
processors,sysinfo,,,"4",1462365942329
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1462365942329
java.runtime.version,sysinfo,,,"1.7.0_79-b14",1462365942329
java.specification.name,sysinfo,,,"Java Platform API Specification",1462365942329
java.specification.vendor,sysinfo,,,"Oracle Corporation",1462365942329
java.specification.version,sysinfo,,,"1.7",1462365942329
java.vendor,sysinfo,,,"Oracle Corporation",1462365942329
java.version,sysinfo,,,"1.7.0_79",1462365942329
java.vm.info,sysinfo,,,"mixed mode",1462365942329
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1462365942329
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1462365942329
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1462365942329
java.vm.specification.version,sysinfo,,,"1.7",1462365942329
java.vm.vendor,sysinfo,,,"Oracle Corporation",1462365942329
java.vm.version,sysinfo,,,"24.79-b02",1462365942329
started,bundle,org.jrfonseca.pythonmonkey,0.1.0.201107291408,"org.jrfonseca.pythonmonkey",1462365946527
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.8.0.v201106151827,"org.eclipse.papyrus.ui.perspectiveconfiguration",1462365946537
started,bundle,org.eclipse.wb.core.lib,1.2.0.r37x201109270310,"org.eclipse.wb.core.lib",1462365946568
started,bundle,org.eclipse.wb.core,1.2.0.r37x201109270310,"org.eclipse.wb.core",1462365946586
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer",1462365946900
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.GXT",1462365946904
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r37x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1462365946905
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r37x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1462365946907
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.core",1462365946910
started,bundle,org.eclipse.wb.discovery.ui,1.2.0.r37x201109270333,"org.eclipse.wb.discovery.ui",1462365948119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462365948961
started,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1462365951144
started,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1462365951158
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1462365951191
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1462365951213
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1462365951268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462365951354
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1462365951388
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1462365951391
started,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1462365951893
error,log,,,"Required attribute ""label"" missing from ""topic"" element in ""/fr.tm.elibel.smartqvt.doc/toc.xml"" (skipping element)",1462365953006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462365953958
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1462365955858
started,bundle,org.topcased.modeler.efs,2.5.0.201107291408,"org.topcased.modeler.efs",1462365955872
started,bundle,org.eclipse.papyrus.core,0.8.0.v201106151827,"org.eclipse.papyrus.core",1462365955876
started,bundle,org.eclipse.gmf.runtime.emf.type.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.type.core",1462365955894
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1462365955897
started,bundle,org.eclipse.gef,3.7.0.v20110407-2050,"org.eclipse.gef",1462365955903
started,bundle,org.eclipse.papyrus.sasheditor,0.8.0.v201106151827,"org.eclipse.papyrus.sasheditor",1462365955911
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1462365955918
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.5.0.v20110309-2230,"org.eclipse.gmf.runtime.diagram.ui",1462365955920
started,bundle,org.eclipse.papyrus.editor,0.8.0.v201106151827,"org.eclipse.papyrus.editor",1462365955921
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1462365955926
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1462365955938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462365959490
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1462365960746
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1462365975420
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1462365975423
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1462365975492
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1462365975535
started,bundle,org.eclipse.wst.common.modulecore,1.2.101.v201108231700,"org.eclipse.wst.common.modulecore",1462365975537
started,bundle,org.eclipse.jst.j2ee.core,1.2.101.v201108110300,"org.eclipse.jst.j2ee.core",1462365975541
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1462365975552
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1462365975564
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1462365975566
started,bundle,org.eclipse.wst.validation,1.2.302.v201107140600,"org.eclipse.wst.validation",1462365975572
started,bundle,org.eclipse.jst.j2ee,1.1.501.v201108231845,"org.eclipse.jst.j2ee",1462365975588
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1462365975589
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1462365975597
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r37x201110181233,"com.google.gdt.eclipse.designer.hosted",1462365975734
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1462365975864
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1462365975870
started,bundle,org.eclipse.php.core,3.0.0.v20110516-1100,"org.eclipse.php.core",1462365977895
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1462365978325
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1462365978325
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1462365981666
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1462365981668
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1462365981669
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1462365981707
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1462365981741
opened,view,org.eclipse.mylyn.tasks.ui,3.6.1.v20110728-0200,"org.eclipse.mylyn.tasks.ui.views.tasks",1462365981913
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1462365981935
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1462365982453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462365982547
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1462365984103
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1462365989854
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462365989955
started,bundle,org.eclipse.papyrus.layouttool,0.8.0.v201106151827,"org.eclipse.papyrus.layouttool",1462365989980
started,bundle,org.topcased.layouttool.subeditor.topcased,0.9.0.201107291408,"org.topcased.layouttool.subeditor.topcased",1462365989983
started,bundle,org.topcased.modeler,3.1.14.201107291408,"org.topcased.modeler",1462365989985
started,bundle,org.topcased.facilities,2.6.1.201107291408,"org.topcased.facilities",1462365989996
started,bundle,org.topcased.requirement.bundle.topcased,1.0.0.201107291409,"org.topcased.requirement.bundle.topcased",1462365990000
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462365990121
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1462365990224
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1462365990497
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462365992413
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1462366050782
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1462366109732
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462366111611
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462366111755
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1462366111775
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462366125017
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462366125102
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1462366125125
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1462366125142
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1462366127556
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1462366133913
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.0.v201105180000,"org.eclipse.jpt.jaxb.ui",1462366133921
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1462366133927
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1462366133988
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1462366133995
started,bundle,org.eclipse.pde.api.tools,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools",1462366134041
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1462366134043
started,bundle,org.eclipse.jpt.jaxb.core,1.0.0.v201105240000,"org.eclipse.jpt.jaxb.core",1462366134215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462366134243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1462366137639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366154078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366154357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366170017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366170156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1462366223808
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366245643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366245817
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1462366276229
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1462366276248
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1462366276252
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366290397
started,bundle,org.tmatesoft.svnkit,1.3.5.7406,"org.tmatesoft.svnkit",1462366292329
started,bundle,com.sun.jna,3.2.7,"com.sun.jna",1462366292570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1462366293063
